0,Date,Biden,Trump,Pollster
1,6/6-11,48,41,@ClimateNexus
2,6/22-23,43,39,@Harris_X_/@thehill
3,6/24-25,47,39,@YouGovAmerica/@YahooNews
4,6/22-24,52,44,@maristpoll/@NPR/@NewsHour
5,6/8-14,51,38,@KFF
6,6/19-22,47,38,@CNBC
7,6/21-23,49,41,@YouGovAmerica/@TheEconomist
8,6/22-23,47,37,@Reuters/@Ipsos
9,6/23,50,44,@DataProgress
10,6/15-21,47,39,@MorningConsult
11,6/17-22,50,36,@SienaResearch/@UpshotNYT
12,6/19-20,52,43,@ppppolls/@ProtectOurCare
13,6/17-18,56,44,@Harvard-@HarrisPoll
14,6/12-16,50,42,@EchelonInsights
15,6/12-16,53,43,@SurveyMonkey/@axios
16,5/28-6/10,50,39,@DemocracyFund/@UCLA
17,6/13-16,50,38,@FoxNews
18,6/9-16,50,44,@Be0ptimus/@FirehouseStrat
19,6/11-15,49,41,@QuinnipiacPoll
20,6/14-15,50,41,@YouGovAmerica/@TheEconomist
21,6/10-16,48,35,@Reuters/@Ipsos
22,6/12-14,51,41,@ChangePolls/@CNBC
23,5/21-6/5,40,32,NORC/@AEI
24,6/6-13,52,43,@Be0ptimus/@FirehouseStrat
25,6/8-14,48,39,@MorningConsult
26,6/11-13,48,36,Research/@ScottWRasmussen/@JustTheNews
27,6/11-13,49,35,"@abacusdataca,"
28,6/8-9,50,37,Redfield
29,6/2-9,53,42,@Be0ptimus/@FirehouseStrat
30,6/9-10,49,40,@YouGovAmerica/@YahooNews
31,6/7-9,49,41,@YouGovAmerica/@TheEconomist
32,6/2,54,40,@DataProgress
33,6/7,46,39,MSR
34,6/8-9,46,38,@Reuters/@Ipsos
35,6/1-7,47,39,@MorningConsult
36,5/30-6/6,53,42,@Be0ptimus/@FirehouseStrat
37,6/1-4,47,37,@Harris_X_/@thehill
38,6/4-6,47,37,Research/@ScottWRasmussen
39,6/3-6,53,41,@MajorityPAC/@prioritiesUSA
40,6/1-2,46,46,@TheZogbyPoll
41,6/2-5,55,41,@CNN
42,5/28-6/2,49,42,@NBCNews/@WSJ
43,6/2-4,53,43,0
44,6/2-3,50,43,@maristpoll/@NPR/@NewsHour
45,6/1-2,46,41,0
46,5/26-6/2,51,44,@Be0ptimus/@FirehouseStrat
47,5/31-6/3,45,42,IBD/TIPP
48,6/1-3,47,44,@Civiqs/@dailykos
49,5/29-31,48,41,@ChangePolls/@CNBC
50,6/2-3,53,47,@EmersonPolling/@NexstarDigital
51,5/31-6/2,47,40,@YouGovUS/@TheEconomist
52,5/28-6/1,51,35,@MonmouthPoll
53,5/28-6/1,52,41,@MonmouthPoll
54,6/1-2,47,37,@Reuters/Ipsos
55,5/28-30,46,39,Research/@ScottWRasmussen/@JustTheNews
56,5/29-6/1,47,43,@YouGovAmerica/@CBSNewsPoll
57,5/23-30,50,45,@Be0ptimus/@FirehouseStrat
58,5/31-6/1,51,39,@MorningConsult
59,5/21-27,43,40,@TargetSmart
60,5/29-30,48,40,@YouGovAmerica/@YahooNews
61,5/26,0,37,@ZogbyStrategies
62,5/26,0,43,@ZogbyStrategies
63,5/26,53,40,@ZogbyStrategies
64,5/25-28,56,39,@ABC/@washingtonpost
65,5/25-28,53,43,@ABC/@washingtonpost
66,5/19-26,52,44,@Be0ptimus/@FirehouseStrat
67,5/20-27,45,39,@Reuters/@Ipsos
68,5/23-26,45,42,@YouGovUS/@TheEconomist
69,5/18-24,46,41,@MorningConsult
70,5/16-23,54,43,@Be0ptimus/@FirehouseStrat
71,5/20-21,46,42,@YouGovUS/@YahooNews
72,5/12-19,52,42,@Be0ptimus/@FirehouseStrat
73,5/13-18,43,41,@KFF
74,5/17-20,53,41,@foxnewspoll
75,5/17-20,48,40,@foxnewspoll
76,5/19,51,42,@DataProgress
77,5/17-19,47,42,@YouGovUS/@TheEconomist
78,5/11-17,46,41,@MorningConsult
79,5/18-19,0,43,@ppppolls
80,5/13-14,42,41,@Harris_X_/@TheHill
81,5/18-19,47,38,@Reutes/@Ipsos
82,5/14-18,50,39,@QuinnipiacPoll
83,5/18-19,48,43,@Rasmussen_Poll
84,5/15-17,48,45,@ChangePolls/@CNBC
85,5/14-16,43,39,Research/@ScottWRasmussen/@JustTheNews
86,5/9-16,52,41,@Be0ptimus/@FirehouseStrat
87,5/13-14,53,47,@Harvard-@HarrisPoll
88,5/5,50,44,@DataProgress
89,5/5-12,52,43,@Be0ptimus/@FirehouseStrat
90,5/10-12,47,43,@YouGovUS/@TheEconomist
91,5/7-10,51,46,@CNN
92,5/11-12,46,38,@Reuters/@Ipsos
93,5/4-10,45,42,@MorningConsult
94,5/2-9,50,45,@Be0ptimus/@FirehouseStrat
95,5/8-9,52,44,Redfield
96,5/7-9,44,38,Research/@ScottWRasmussen
97,5/4-5,45,42,@YouGovUS/@YahooNews
98,4/28-5/5,51,45,@Be0ptimus/@FirehouseStrat
99,5/3-5,46,42,@YouGovUS/@TheEconomist
100,4/30-5/4,47,40,@MonmouthPoll
101,5/2-5,47,44,@Civiqs/@dailykos
102,5/1-3,47,44,@ChangePolls/@CNBC
103,5/4-5,43,41,@Reuters/@Ipsos
104,4/30-5/2,46,39,Research/@ScottWRasmussen
105,4/27-5/3,46,42,@MorningConsult
106,4/25-5/2,50,45,@Be0ptimus/@FirehouseStrat
107,4/28-5/1,49,43,@YouGovUS/@CBSNewsPoll
108,0,0,0,0
109,4/26-29,43,43,IBD/TIPP
